,vacancy,salary,min_salary,max_salary,cur_salary,link,site
0,Pricing development manager,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37331973?query=Data%20scientist,HH
1,Технический директор разработки SAAS продукта,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37249572?query=Data%20scientist,HH
2,Data Scientist,от 130 000 руб.,от 130 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/37054908?query=Data%20scientist,HH
3,Python Data Scientist,от 150 000 руб.,от 150 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/36916080?query=Data%20scientist,HH
4,Senior Data Scientist,от 300 000 руб.,от 300 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/37294434?query=Data%20scientist,HH
5,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36877389?query=Data%20scientist,HH
6,Аналитик - эконометрист / Data scientist (Junior/Middle),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37172711?query=Data%20scientist,HH
7,Middle/Senior data scientist (fraud prevention),140 000-220 000 руб.,140 000,220 000 руб.,н/у,https://spb.hh.ru/vacancy/36991107?query=Data%20scientist,HH
8,Data scientist,до 150 000 руб.,н/у,до 150 000 руб.,н/у,https://spb.hh.ru/vacancy/37329687?query=Data%20scientist,HH
9,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37292440?query=Data%20scientist,HH
10,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36452970?query=Data%20scientist,HH
11,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37045181?query=Data%20scientist,HH
12,Data Scientist (Computer Vision),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36954719?query=Data%20scientist,HH
13,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37247506?query=Data%20scientist,HH
14,Руководитель направления Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37200010?query=Data%20scientist,HH
15,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36519811?query=Data%20scientist,HH
16,Senior data scientist (руководитель группы anti-fraud),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37008731?query=Data%20scientist,HH
17,Data scientist,от 150 000 руб.,от 150 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/37072712?query=Data%20scientist,HH
18,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36357367?query=Data%20scientist,HH
19,Python-разработчик (Middle Python Developer),до 230 000 руб.,н/у,до 230 000 руб.,н/у,https://spb.hh.ru/vacancy/36887804?query=Data%20scientist,HH
20,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37010627?query=Data%20scientist,HH
