,vacancy,salary,min_salary,max_salary,cur_salary,link,site
0,Заместитель директора по ИТ / Учитель информационных технологий,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/zamestitel-direktora-po-it-31369732.html,SJ
1,IT-директор,от 80 000 руб.,от 80 000 руб.,н/у,н/у,https://superjob.ru/vakansii/it-direktor-33808183.html,SJ
2,Бизнес-аналитик (IT),По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/biznes-analitik-33904361.html,SJ
3,"IT-специалист, программист 1С",По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/it-specialist-33915574.html,SJ
4,"Директор ИТ, Руководитель ИТ отдела, подразделения, службы",от 60 000 руб.,от 60 000 руб.,н/у,н/у,https://superjob.ru/vakansii/direktor-it-33915771.html,SJ
5,Руководитель IT-проектов,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/rukovoditel-it-proektov-33834616.html,SJ
6,Заместитель директора по IT,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/zamestitel-direktora-po-it-32617521.html,SJ
7,"Помощник системного администратора, IT-специалист",32 500 руб.,32 500 руб.,32 500 руб.,н/у,https://superjob.ru/vakansii/pomoschnik-sistemnogo-administratora-33883234.html,SJ
8,Инженер по IT,25 000 — 30 000 руб.,25 000 , 30 000 руб.,н/у,https://superjob.ru/vakansii/inzhener-po-it-33911493.html,SJ
9,"IT-специалист, системный администратор",По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/it-specialist-33206981.html,SJ
10,"Системный администратор, IT-специалист",до 35 000 руб.,до 35 000 руб.,до 35 000 руб.,н/у,https://superjob.ru/vakansii/sistemnyj-administrator-33892128.html,SJ
11,IT-специалист,По договорённости,По договорённости,По договорённости,н/у,https://superjob.ru/vakansii/it-specialist-33350261.html,SJ
12,Программист C#,от 130 000 руб.,от 130 000 руб.,н/у,н/у,https://superjob.ru/vakansii/programmist-c-33495380.html,SJ
